name,check_in,check_out,adults,rooms,address,provider,reviews,rating,price,range
"The Standard, High Line",12/9/2017,12/10/2017,2,1,"848 Washington Street, at West 13th Street, New York City, NY 10014-1308",Booking.com,"2,886",4,489,302-615
Renaissance New York Hotel 57,12/9/2017,12/10/2017,2,1,"130 E 57th St, New York City, NY 10022-2726",Hotwire.com,"1,345",4,425,148-515
Hilton Garden Inn New York Times Square South,12/9/2017,12/10/2017,2,1,"326 West 37th Street, New York City, NY 10018",GardenInn.com,2,4.5,315,140-420
Chambers Hotel,12/9/2017,12/10/2017,2,1,"15 W 56th St, New York City, NY 10019",Booking.com,647,4.5,446,269-993
Fairfield Inn & Suites New York Manhattan/Fifth Avenue,12/9/2017,12/10/2017,2,1,"21 West 37th Street, New York City, NY 10018",Fairfield Inn,631,4,476,192-551
Four Seasons Hotel New York,12/9/2017,12/10/2017,2,1,"57 E 57th St, New York City, NY 10022-2081",FourSeasons.com,192,4.5,1275,919-1602
The Surrey,12/9/2017,12/10/2017,2,1,"20 East 76th Street, New York City, NY 10021-2643",Expedia.com,"1,900",4.5,770,414-983
414 Hotel,12/9/2017,12/10/2017,2,1,"414 West 46th Street, New York City, NY 10036-3505",,"1,419",4.5,356,263-457
The Marcel at Gramercy,12/9/2017,12/10/2017,2,1,"201 East 24th Street, New York City, NY 10010-3801",AMOMA,"3,178",4,293,154-410
CITY ROOMS NYC SoHo,12/9/2017,12/10/2017,2,1,"120 Lafayette St, New York City, NY 10013-3129",,117,4,136,113-273
The Premier Times Square by Millennium,12/9/2017,12/10/2017,2,1,"133 W 44th St, New York City, NY 10036-4012",AMOMA,810,4,476,225-583
WestHouse Hotel New York,12/9/2017,12/10/2017,2,1,"201 West 55 Street, New York City, NY 10019-5203",AMOMA,"1,776",4.5,505,294-725
National at the Metropolis,12/9/2017,12/10/2017,2,1,"150 E 44th St, New York City, NY 10017-4068",,0,-1,123,100-345
"The Carlyle, A Rosewood Hotel",12/9/2017,12/10/2017,2,1,"35 E 76th St, New York City, NY 10021",Expedia.com,804,4.5,950,419-1406
Cassa Hotel Times Square,12/9/2017,12/10/2017,2,1,"515 Ninth Avenue, at 39th Street, New York City, NY 10018-2802",,"1,228",4.5,567,194-618
Courtyard New York Manhattan/Fifth Avenue,12/9/2017,12/10/2017,2,1,"3 E 40th St, New York City, NY 10016-0101",Courtyard,925,4,449,197-548
Hotel Boutique At Grand Central,12/9/2017,12/10/2017,2,1,"447 Lexington Ave, 128 East 45th Street, New York City, NY 10017-3908",Booking.com,529,4.5,341,153-422
